# Generated by scripts/import-romance-lexicons.py; do not edit.
# Language-routing membership only: Portuguese (Brazil + Portugal).
# Pinned wooorm/dictionaries commit: 8cfea406b505e4d7df52d5a19bce525df98c54ab.
# Sources: dictionaries/pt/index.dic, dictionaries/pt-PT/index.dic.
# Pronunciation is owned separately by the pinned MFA pronunciation TSV.
# word	community
abeliano	br+pt
abelianístico	br
abelicado	br
abelidar	br
abelim	br
abelinate	br
abeliota	br
abelite	br
abelmeluco	br
abelmoluco	br
abelmosco	br
abeloiro	br
abelonianismo	br
abeloniano	br
abelonianístico	br
abelonistístico	br
abelonita	br
abelotado	br
abelouro	br
abeloíta	br
abelária	br
abelázia	br
abelânio	br
abelézia	br
abelíceo	br
abelínio	br
abelítico	br
abelônio	br
abemolável	br
abencerrage	br
abencerragem	br+pt
abendiçoar	br
abengalar	br
abenoxam	br
abentesma	br
abentérico	br
abenuz	br
abençoadeira	pt
abençoadeiro	br
abençoar	br+pt
abençoável	br
abeono	br
abepitimia	br
abepitímico	br
aber	br
aberas	br
aberdim	br
aberemo	br
aberingelado	br
aberinjelar	br
aberita	br
aberlinar	br
aberlindar	br
abernatiita	br
abernúncio	br
aberracional	br
aberrana	br
aberrante	pt
aberrantemente	br
aberrar	pt
aberrativo	br+pt
aberração	pt
aberregar-se	br
aberrometria	br
aberrontar	br
aberroscopia	br
aberroscópico	br
aberroscópio	br
aberrundar	br
aberruntado	br
aberrância	br
aberrômetro	br
aberta	pt
abertal	br
abertanense	br
aberteira	br
abertismo	br
abertivo	br+pt
abertiço	br
aberto	br+pt
abertoira	br
abertona	br
abertoura	br
abertura	pt
abertural	br
aberturar	br
aberturista	br
abertão	br
aberém	br
aberêmoa	br
abesana	br
abescoinha	br
abesconinha	br
abescuinha	br
abeselgado	br
abesentar	br
abeses	br
abesi	br
abesino	br
abesir	br
abesoirar	pt
abesourar	pt
abespa	br
abespinhadiço	br
abespinhar	br+pt
abespinhável	br
abespão	br
abessalão	br
abessana	br
abessedito	br
abessedo	br
abessedítico	br
abesseiro	br
abessi	br
abessim	br
abessino	br
abessivo	br
abessínio	br
abestalhar	br
abestação	br
abesteiragem	br
abesteirar	br
abestializável	br
abestiar	br
abestim	br
abestino	br
abestiço	br
abestos	br
abestruz	br
abestunto	br
abetarda-barbuda	br
abetarda-grande	br
abetardado	br
abetardas-barbudas	br
abetardas-grandes	br
abetardas-pequenas	br
abete	br
abeterno	br
abetesgado	br
abetinado	br
abetino	br
abetinote	br
abeto	br+pt
abeto-balsâmico	br
abeto-branco	br
abeto-do-canadá	br
abeto-do-norte	br
abeto-falso	br
abetoinha	br
abetoninha	br
abetos-balsâmicos	br
abetos-brancos	br
abetos-do-canadá	br
abetos-do-norte	br
abetos-falsos	br
abetualha	br
abetumar	pt
abetureira	br
abetíneo	br
abetínico	br
abevacuar	br
abevacuação	br
abeverar	br
abevilense	br
abeviliano	br
abexedo	br
abexi	br
abexim	br
abexitanta	br
abezelgado	br
abezerrar	br
abfarad	br
abglt	br
abgregar	br
abgregação	br
abi	br
abiano	br
abias	br
abibliotecar	br
abibura	br
abicadoiro	br
abicadouro	br
abicense	br
abichalhar	br
abicharar	br
abicheca	br
abichira	br
abichite	br
abichito	br
abichornar	br
abichítico	br
abicô	br
abidarma	br
abideno	br
abidgito	br
abidjão	br
abidueiro	br
abie	br
abiegno	br
abieiro	br
abieiro-da-mata	br
abieiros-da-mata	br
abiel	br
abienergia	br
abietado	br
abietato	br
abieteno	br
abietino	br
abietite	br
abieto	br
abietoidea	br
abietol	br
abietáceo	br
abietário	br
abietático	br
abietânico	br
abietênico	br
abietíneo	br
abietínico	br
abietólico	br
abiezrita	br
abigail	br
abigarrar	br
abigear	br
abigeato	br
abigeatário	br
abigi	br
abigodar	br
abigornar	br
abigouro	br
abiiba	br
abijira	br
abijão	br
abilasão	br
abildegar	br
abileno	br
abilgárdia	br
abilhar	br
abilo	br
abilolar	br
abilolação	br
abimael	br
abimeleque	br
abimálico	br
abin	br
abinhadeira	br
abinhar	br
abinoão	br
abintestar	br
abinício	br
abio	br
abio-de-casca-fina	br
abio-do-mato	br
abio-do-pará	br
abio-grande	br
abio-grande-da-terra-firme	br
abio-piloso	br
abio-roxo	br
abioceno	br
abiogenesia	br
abiogenia	br
abiogenismo	br
abiogenístico	br
abiogénese	br
abiolenose	br
abiologia	br
abiológico	br
abiombar	br
abionarcia	br
abionergia	br
abionárcico	br
abiorana-da-mata	br
abiorana-da-várzea	br
abiorana-grande	br
abiorana-guta	br
abiorana-preta	br
abiorana-vermelha	br
abioranas-da-mata	br
abioranas-da-várzea	br
abioranas-grandes	br
abioranas-guta	br
abioranas-pretas	br
abioranas-vermelhas	br
abiori	br
abios-de-casca-fina	br
abios-do-mato	br
abios-do-pará	br
abios-grandes	br
abios-grandes-da-terra-firme	br
abios-pilosos	br
abios-roxos	br
abioto	br
abiotrofia	br
abiotrófico	br
abipone	br
abipão	br
abiqueirar	br
abiquite	br
abir	br
abiraco	br
abirenajare	br
abiriano	br
abirquajave	br
abirritar	br
abirritativo	br
abirritação	br
abirritável	br
abirubir	br
abisa	br
abisagrar	br
abisca	br
abiscano	br
abismal	br+pt
abismar	br+pt
abismense	br
abismo	br+pt
abismoso	br
abismático	br
abissal	br+pt
abissar	br
abisseiro	br
abissim	br
abissinismo	br
abissino	br
abissinístico	br
abissodinamia	br
abissodinâmico	br
abissofobia	br
abissofóbico	br
abissolítico	br
abissopelágico	br
abissínia	pt
abissínico	br
abissínio	br+pt
abissófobo	br
abissólito	br
abitadura	br
abitaga	br
abitalhar	br
abitana	br
abitica	br
abitiga	br
abitinense	br
abitoninha	br
abitureira	br
abitureirense	br
abitão	br
abitílio	br
abiu	br
abiu-de-casca-fina	br
abiu-do-cerrado	br
abiu-do-mato	br
abiu-do-pará	br
abiu-grande	br
abiu-grande-da-terra-firme	br
abiu-piloso	br
abiu-roxo	br
abiud	br
abiulense	br
abiurana-da-mata	br
abiurana-da-várzea	br
abiurana-grande	br
abiurana-guta	br
abiurana-preta	br
abiurana-vermelha	br
abiuranas-da-mata	br
abiuranas-da-várzea	br
abiuranas-grandes	br
abiuranas-guta	br
abiuranas-pretas	br
abiuranas-vermelhas	br
abius-de-casca-fina	br
abius-do-mato	br
abius-do-pará	br
abius-grandes	br
abius-grandes-da-terra-firme	br
abius-pilosos	br
abius-roxos	br
abizantinar	br
abião	br
abiético	br
abiúdo	br
abjecto	br
abjecção	br
abjeição	br
abjetivo	br
abjeto	br+pt
abjeção	br+pt
abjudicar	br+pt
abjudicatório	br
abjudicação	br
abjudicável	br
abjugar	br
abjugativo	br
abjungir	br
abjuntivo	br
abjunto	br
abjunção	br
abjuramento	br
abjurar	br+pt
abjuratório	br+pt
abjuração	br
abjurgar	br
abjurgatório	br
abjurgação	br
abjurável	br
abl	br
ablabe	br
ablaca	br
ablactar	br
ablactação	br
ablactável	br
ablacômia	br
ablages	br
ablamelar	br
ablamelário	br
ablaminar	br
ablaminário	br
ablandar	br
ablaquear	br
ablaqueação	br
ablaquecer	br
ablaquetar	br
ablastia	br
ablastêmico	br
ablatina	br
ablativismo	br
ablativo	br+pt
ablator	br
ablação	br+pt
able	br
ablecte	br
ablecto	br
ablefaria	br
ablefaroptótico	br
ablefoptose	br
ablefoptótico	br
ablefárico	br
ablegar	br
ablegação	br
ableitar	br
ableno	br
ablepsia	br
abletiado	br
ableu	br
abligião	br
abliquita	br
abliteiro	br
ablitense	br
ablocatário	br
ablocação	br
ablocável	br
ablucaste	br
abluciomania	br
abluciomaníaco	br
abluente	br
abluir	br
ablutomania	br
ablutomaníaco	br
ablutor	br
ablutômano	br
abluvião	br
ablução	br
ablábero	br
abláptico	br
abláqua	br
ablânia	br
ablégmino	br
abléptico	br
ablítero	br
abmaterializar	br
abmaterialização	br
abmatértera	br
abmigrar	br
abmigratório	br
abmigração	br
abnadar	br
abnegantismo	br
abnegar	br+pt
abnegativismo	br
abnegativo	br+pt
abnegativístico	br
abnegação	br
abner	br
abneto	br
abneural	br
abnodar	br
abnodação	br
abnodoso	br
abnoitar	br
abnormal	br
abnorme	br
abnormidade	br
abnt	br
abnue	br
abnuente	br
abnuir	br
abnuição	br
abnuência	br
abnuível	br
abnórmea	br
abnóxio	br
aboamado	br
aboarado	br
abobadado	pt
abobadar	br
abobadela	br
abobadilha	br
abobadilheiro	br
abobalhar	br
abobalhação	br
abobar	pt
abobarrado	br
abobechar	br
aboboral	br+pt
aboborar	br+pt
aboboreira	br+pt
aboborense	br
aboborinha	br
abobra	br
abobreira	br
abobrinha-do-mato	br
abobrinha-do-norte	br
abobrinhas-do-mato	br
abobrinhas-do-norte	br
abocadar	br
abocamento	pt
abocanhar	pt
abocanhável	br
abocar	br
abocetar	br
abochicar	br
abochichar	br
abochornar	br
abochornável	br
abocinar	br
abocoçô	br
abodegar	br
abodegação	br
abodocar	br
abodrito	br
aboemado	br
aboemiar	br
aboenjeré	br
abogão	br
abohm	br
aboim	pt
aboladura	br
abolaza	br
abolbodáceo	br
aboldriar	br
abole	pt
aboleimar	br
aboleirar	br
abolem	pt
abolerecer	br
aboles	pt
aboli	pt
abolicionismo	pt
abolicionista	pt
abolicionistamente	br
abolicionístico	br
abolicismo	br
abolicístico	br
abolimos	pt
abolinadura	br
abolir	br+pt
abolis	pt
abolitivo	br+pt
abolitório	br
abolição	br
abolorentar	br
abolumar	br
abolário	br
abolível	br
abolório	br
aboma	br
abomasite	br
abomaso	br
abombachar	br
abominar	br+pt
abominatório	br
abominação	br
abominoso	br
abominábil	br
abominário	br
abominável	br
abomínio	br
abonar	br+pt
abonativo	br
abonatário	br
abonatório	pt
abonaxi	br
abonação	br
aboncar	br
abonecado	pt
abono	pt
abonos	br
abonável	br
aboquilhar	br
abor	br
aboral	br
aborbitar	br
aborbitação	br
aborbitável	br
aborcar	br
aborcionismo	br
aborcionístico	br
abordagem	pt
abordar	br+pt
abordo	pt
abordoar	br
abordos	br
abordável	br
aborelecer	br
aborigenado	br
aboriginal	br
aboriginário	br
aborigíneo	br
aborletar	br
abornalar	br
aborquelar	br
aborrascar	br
aborrecer	br+pt
aborrecidíssimo	br
aborrecível	br
aborrir	br
aborrível	br
aborsivo	br
aborso	br
aborsível	br
abortadeira	pt
abortadeiro	br
abortar	br+pt
abortação	br
aborteiro	br
aborticida	br
aborticídio	br
abortifaciente	br
abortigênico	br
abortina	br
abortivo	br+pt
aborto	pt
abortocóspio	br
abortogênico	br
abortos	br
abortável	br
abortício	br
abortífero	br
aboruma	br
aborzeguinar	br
aborçar	br
aborção	br
aborícola	br
aborígene	br+pt
aborígine	br
aboscar	br
abossadura	br
abostelar	br
abotequinar	br
aboticar	br
abotijar	br
abotinar	br
abotoadeira	br+pt
abotoadura	br+pt
abotoar	br+pt
abotoação	br
abotoeira	br
abotoável	br
abotumar	br
aboubar	br
aboucadela	br
aboucar	br
abougar	br
aboulaza	br
abouna	br
abourbonado	br
abouvila	br
abovila	br
aboçadura	br
aboçar	br
aboço-de-nó-torto	br
aboços-de-nó-torto	br
aboí	br
abporal	br
abr	br
abraamense	br
abraamiano	br
abraamismo	br
abraamita	br
abraamístico	br
abraamítico	br
abracadabra	pt
abracadabrante	br
abracadabresco	br
abracadabrismo	br
abracadabro	br
abracadabrático	br
abracadabrância	br
abracadabrístico	br
abracadábrico	br
abracalã	br
abracar	br
abracite	br
abracito	br
abracrino	br
abracítico	br
abraemo	br
abraganhar	br
abraham	pt
abrams	pt
abrancar	br
abrancaçar	br
abranchense	br
abrandadura	br
abrandar	pt
abrangente	br
abranger	br+pt
abrangidura	br
abrangência	br+pt
abrangível	br
abranquecer	br
abranquia	br
abranquiado	br
abrantense	br
abrantes	br+pt
abrantino	br
abraquiano	br
abraquiocefalia	br
abraquiocéfalo	br
abraquionia	br
abrar	br
abrasador	pt
abrasadura	br
abrasante	pt
abrasar	pt
abrasear	br
abrasileirar	br+pt
abrasilianar	br
abrasim	br
abrasite	br
abrasito	br
abrasivo	br+pt
abrasor	br
abrassino	br
abrastol	br
abrasão	pt
abrasítico	br
abraxa	br
abraxoide	br
abrazite	br
abrazito	br
abrazítico	br
abrazô	br
abraâmico	br
abraâmida	br
abraâmio	br
abraão	br+pt
abraãozense	br
abraça-mundo	br
abraça-palo	br
abraça-pau	br
abraçadeira	pt
abraçar	br+pt
abraço	pt
abraço-da-primavera	br
abraço-de-vide	br
abraços	br
abraços-da-primavera	br
abraços-de-vide	br
abraçável	br
abração	br
abre-alas	br
abre-asas	br
abre-asas-da-capoeira	br
