# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Portuguese dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/portuguese/brazil_mfa/portuguese_brazil_mfa.dict, dictionary/portuguese/portugal_mfa/portuguese_portugal_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
secundária	brazil+portugal	s e k ũ d a ɾ j ɐ
secundárias	brazil	s e k ũ d a ɾ i ɐ s
secundárias	portugal	s e k ũ d a ɾ j ɐ ʃ
secundário	brazil+portugal	s e k ũ d a ɾ j u
secundários	brazil	s e k ũ d a ɾ j u s
secundários	portugal	s e k ũ d a ɾ j u ʃ
secura	portugal	s ɨ k u ɾ ɐ
securitizada	brazil	s e k u ɾ i tʃ i z a d ɐ
securitizadas	brazil	s e k u ɾ i tʃ i z a d ɐ s
securitizadas	portugal	s ɨ k u ɾ i t i z a d ɐ ʃ
securitização	brazil	s e k u ɾ i tʃ i z a s ɐ̃ w̃
securitização	portugal	s ɨ k u ɾ i t i z ɐ s ɐ̃ w̃
secá	portugal	s ɨ k a
secção	portugal	s ɛ k s ɐ̃ w̃
secções	portugal	s ɛ k s õ j̃ ʃ
sed	portugal	s ɨ ð
seda	brazil	s e d a
seda	brazil+portugal	s e d ɐ
sedada	portugal	s ɛ ð a ð ɐ
sedas	portugal	s e d ɐ ʃ
sedativa	portugal	s e d a t i v ɐ
sede	brazil	s e dʒ i
sede	brazil	s ɛ dʒ i
sede	portugal	s e ð ɨ
sede	portugal	s ɛ ð ɨ
sedenta	portugal	s ɨ ð ẽ t ɐ
sedentarismo	portugal	s ɨ ð ẽ t ɐ ɾ i ʒ m u
sedentas	portugal	s ɨ ð ẽ t ɐ ʃ
sedento	portugal	s ɨ ð ẽ t u
sedentos	portugal	s ɨ ð ẽ t u ʃ
sedentárias	portugal	s ɨ ð ẽ t a ɾ j ɐ ʃ
sedentário	portugal	s ɨ ð ẽ t a ɾ j u
sedentários	portugal	s ɨ ð ẽ t a ɾ j u ʃ
sedes	brazil	s e dʒ i s
sedes	portugal	s e ð ɨ ʃ
sedeúdas	portugal	s ɨ ð j u ð ɐ ʃ
sediado	brazil	s e dʒ i a d u
sediar	brazil	s e dʒ i a x
sediar	portugal	s ɨ ð j a ɾ
sediciosa	portugal	s ɨ ð i s j ɔ z ɐ
sedicioso	portugal	s ɨ ð i s j o z u
sediciosos	portugal	s ɨ ð i s j o z u ʃ
sedimentados	portugal	s ɨ ð i m ẽ t a ð u ʃ
sedimentar	portugal	s ɨ ð i m ẽ t a ɾ
sedimentares	portugal	s ɨ ð i m ẽ t a ɾ ɨ ʃ
sedimento	portugal	s ɨ ð i m ẽ t u
sedimentos	portugal	s ɨ ð i m ẽ t u ʃ
sedimentários	portugal	s ɨ ð i m ẽ t a ɾ j u ʃ
sediou	portugal	s ɨ ð j o w
sedição	brazil	s e dʒ i s ɐ̃ w̃
sedição	portugal	s ɨ ð i s ɐ̃ w̃
sedições	portugal	s ɨ ð i s õ j̃ ʃ
sedoso	portugal	s ɨ ð o z u
sedosos	portugal	s ɨ ð o z u ʃ
seductor	portugal	s e d u k t o ɾ
seductora	portugal	s e d u k t u ɾ ɐ
seducção	portugal	s e d u k s ɐ̃ w̃
seducções	portugal	s e d u k s õ j̃ ʃ
sedutor	portugal	s ɨ ð u t o ɾ
sedutora	portugal	s ɨ ð u t o ɾ a
sedutoras	portugal	s ɨ ð u t o ɾ ɐ ʃ
sedutores	portugal	s ɨ ð u t o ɾ ɨ ʃ
seduz	portugal	s e d u ʃ
seduzem	portugal	s ɨ ð u z ɐ̃ j̃
seduzi	portugal	s ɨ ð u z i
seduzia	portugal	s ɨ ð u z i ɐ
seduziam	portugal	s ɨ ð u z i ɐ̃ w̃
seduzida	portugal	s ɨ ð u z i d ɐ
seduzido	portugal	s ɨ ð u z i d u
seduzidos	portugal	s ɨ ð u z i ð u ʃ
seduzil	portugal	s ɨ ð u z i l
seduzindo	brazil	s e d u z ĩ d u
seduzindo	portugal	s ɨ ð u z ĩ d u
seduzir	portugal	s ɨ ð u z i ɾ
seduziram	portugal	s ɨ ð u z i ɾ ɐ̃ w̃
seduziu	portugal	s ɨ ð u z i w
sedução	portugal	s e d u s ɐ̃ w̃
seduções	portugal	s e d u s õ j̃ ʃ
sedã	brazil+portugal	s e d ɐ̃
see	portugal	s e i
seeds	portugal	s e e d ʃ
sefardi	portugal	s ɨ f ɐ ɾ ð i
sefardim	portugal	s ɨ f ɐ ɾ ð ĩ
sefardita	portugal	s ɨ f ɐ ɾ ð i t ɐ
segadas	portugal	s ɨ ɣ a ð ɐ ʃ
segador	portugal	s ɨ ɣ ɐ ð o ɾ
segadores	portugal	s ɨ ɣ ɐ ð o ɾ ɨ ʃ
segar	brazil	s e ɡ a x
segar	portugal	s ɨ ɣ a ɾ
sege	portugal	s ɛ ʒ i
segeiro	portugal	s e ʒ ɐ j ɾ u
segeiros	portugal	s e ʒ ɐ j ɾ u ʃ
seges	portugal	s ɨ ʒ ɨ ʃ
segismundo	portugal	s ɨ ʒ i ʒ m ũ d u
segmentar	brazil	s e ɟ i m ẽ t a x
segmentar	portugal	s e ɡ m ẽ t a ɾ
segmento	brazil	s e ɟ i m ẽ t u
segmento	portugal	s e ɡ m ẽ t u
segmentos	brazil	s e ɟ i m ẽ t u s
segmentos	portugal	s e ɡ m ẽ t u ʃ
segredadas	portugal	s ɨ ɣ ɾ e d a d ɐ ʃ
segredam	portugal	s ɨ ɣ ɾ e d ɐ̃ w̃
segredando	portugal	s ɨ ɣ ɾ e d ɐ̃ d u
segredantes	portugal	s ɨ ɣ ɾ e d ɐ̃ t ɨ ʃ
segredar	brazil	s e ɡ ɾ e d a x
segredar	portugal	s ɨ ɣ ɾ e d a ɾ
segredassem	portugal	s ɨ ɣ ɾ e ð s ɐ̃ j̃
segredava	portugal	s ɨ ɣ ɾ e d a v ɐ
segredei	portugal	s ɨ ɣ ɾ e ð e j
segredinho	portugal	s ɨ ɣ ɾ ɨ ð i ɲ u
segredinhos	portugal	s ɨ ɣ ɾ ɨ ð i ɲ u ʃ
segredo	brazil	s e ɡ ɾ e d u
segredo	portugal	s ɨ ɣ ɾ e ð u
segredos	brazil	s e ɡ ɾ e d u s
segredos	portugal	s ɨ ɣ ɾ e ð u ʃ
segredou	portugal	s ɨ ɣ ɾ e ð o w
segrega	portugal	s ɨ ɣ ɾ ɨ ɣ ɐ
segregam	portugal	s ɨ ɣ ɾ ɨ ɣ ɐ̃ w̃
segregação	brazil	s e ɡ ɾ i ɡ a s ɐ̃ w̃
segregação	portugal	s ɨ ɣ ɾ ɨ ɣ ɐ s ɐ̃ w̃
segue	brazil	s ɛ ɟ i
segue	portugal	s ɛ ɡ ɨ
segue	portugal	s ɛ ɣ ɨ
seguem	brazil	s e ɟ ẽ j̃
seguem	portugal	s ɨ ɣ ɐ̃ j̃
segues	portugal	s ɛ ɡ ɨ ʃ
segui	brazil	s e ɟ i
segui	portugal	s ɨ ɣ i
seguia	brazil	s e ɟ i ɐ
seguia	portugal	s ɨ ɣ i ɐ
seguiam	portugal	s ɨ ɣ i ɐ̃ w̃
seguida	brazil	s e ɟ i d ɐ
seguida	portugal	s ɨ ɣ i ð ɐ
seguidamente	portugal	s ɨ ɣ i ð ɐ m ẽ t ɨ
seguidas	brazil	s e ɟ i d ɐ s
seguidas	portugal	s ɨ ɣ i ð ɐ ʃ
seguidilha	portugal	s ɨ ɣ i ð i ʎ ɐ
seguido	brazil	s e ɟ i d u
seguido	portugal	s ɨ ɣ i ð u
seguidor	brazil	s e ɟ i d o x
seguidor	portugal	s ɨ ɣ i ð o ɾ
seguidoras	portugal	s ɨ ɣ i ð o ɾ ɐ ʃ
seguidores	brazil	s e ɟ i d o ɾ i s
seguidores	portugal	s ɨ ɣ i ð o ɾ ɨ ʃ
seguidos	brazil	s e ɟ i d u s
seguidos	portugal	s ɨ ɣ i ð u ʃ
seguil	portugal	s ɨ ɣ i l
seguila	portugal	s ɨ ɟ i l ɐ
seguimento	portugal	s ɨ ɣ i m ẽ t u
seguimos	brazil	s e ɟ i m u s
seguimos	portugal	s ɨ ɣ i m u ʃ
seguindo	brazil	s e ɟ ĩ d u
seguindo	portugal	s ɨ ɣ ĩ d u
seguinte	brazil	s e ɟ ĩ tʃ i
seguinte	brazil	s i ɟ ĩ tʃ i
seguinte	portugal	s ɨ ɣ ĩ t ɨ
seguintes	brazil	s e ɟ ĩ tʃ i s
seguintes	portugal	s ɨ ɣ ĩ t ɨ ʃ
seguir	brazil	s e ɟ i x
seguir	portugal	s ɨ ɟ i ɾ
seguira	portugal	s ɨ ɣ i ɾ ɐ
seguiram	brazil	s e ɟ i ɾ ɐ̃ w̃
seguiram	portugal	s ɨ ɣ i ɾ ɐ̃ w̃
seguirem	portugal	s ɨ ɣ i ɾ ɐ̃ j̃
seguiremos	portugal	s ɨ ɣ i ɾ e m u ʃ
seguires	portugal	s ɨ ɣ i ɾ ɨ ʃ
seguiria	portugal	s ɨ ɣ i ɾ i ɐ
seguirmos	brazil	s e ɟ i x m u s
seguirmos	portugal	s ɨ ɣ i ɾ m u ʃ
seguirá	portugal	s ɨ ɣ i ɾ a
seguirás	portugal	s ɨ ɣ i ɾ a ʃ
seguis	portugal	s ɨ ɣ i ʃ
seguisse	portugal	s ɨ ɣ i s ɨ
seguissem	portugal	s ɨ ɣ i s ɐ̃ j̃
seguiu	brazil+portugal	s e ɟ i w
segunda	brazil	s e ɡ ũ d ɐ
segunda	portugal	s ɨ ɣ ũ d ɐ
segundas	portugal	s ɨ ɣ ũ d ɐ ʃ
segundinho	portugal	s ɨ ɣ ũ d i ɲ u
segundo	brazil	s e ɡ ũ d u
segundo	portugal	s ɨ ɣ ũ d u
segundos	brazil	s e ɡ ũ d u s
segundos	portugal	s ɨ ɣ ũ d u ʃ
segur	brazil	s e ɡ u ɾ
segur	portugal	s ɨ ɣ u ɾ
segura	brazil	s e ɡ u ɾ a
segura	portugal	s ɨ ɣ u ɾ ɐ
segurado	brazil	s e ɡ u ɾ a d u
segurado	portugal	s ɨ ɣ u ɾ a d u
seguradora	brazil	s e ɡ u ɾ a d o ɾ ɐ
seguradora	portugal	s ɨ ɣ u ɾ ɐ ð o ɾ ɐ
seguradoras	brazil	s e ɡ u ɾ a d o ɾ ɐ s
seguradoras	portugal	s ɨ ɣ u ɾ ɐ ð o ɾ ɐ ʃ
segurados	brazil	s e ɡ u ɾ a d u s
seguram	brazil	s e ɡ u ɾ ɐ̃ w̃
seguram	portugal	s ɨ ɣ u ɾ ɐ̃ w̃
seguramente	portugal	s ɨ ɣ u ɾ ɐ m ẽ t ɨ
segurando	brazil	s e ɡ u ɾ ɐ̃ d u
segurando	portugal	s ɨ ɣ u ɾ ɐ̃ d u
segurança	brazil	s e ɡ u ɾ ɐ̃ s ɐ
segurança	brazil	s i ɡ u ɾ ɐ̃ s ɐ
segurança	portugal	s ɨ ɣ u ɾ ɐ̃ s ɐ
seguranças	brazil	s e ɡ u ɾ ɐ̃ s ɐ s
seguranças	portugal	s ɨ ɣ u ɾ ɐ̃ s ɐ ʃ
segurar	brazil	s e ɡ u ɾ a x
segurar	portugal	s ɨ ɣ u ɾ a ɾ
seguraram	brazil	s e ɡ u ɾ a ɾ ɐ̃ w̃
seguraram	portugal	s ɨ ɣ u ɾ a ɾ ɐ̃ w̃
segurarmos	brazil	s e ɡ u ɾ a x m u s
segurarmos	portugal	s ɨ ɣ u ɾ a ɾ m u ʃ
seguras	brazil	s e ɡ u ɾ ɐ s
seguras	portugal	s ɨ ɣ u ɾ ɐ ʃ
segurasse	portugal	s ɨ ɣ u ɾ ɐ s ɨ
segurassem	portugal	s ɨ ɣ u ɾ ɐ s ɐ̃ j̃
segurava	portugal	s ɨ ɣ u ɾ a v ɐ
seguravam	portugal	s ɨ ɣ u ɾ a v ɐ̃ w̃
segure	brazil	s e ɡ u ɾ i
segure	portugal	s ɨ ɣ u ɾ ɨ
segurei	brazil	s e ɡ u ɾ e j
segurei	portugal	s ɨ ɣ u ɾ e j
segurem	portugal	s ɨ ɣ u ɾ ɐ̃ j̃
seguridade	brazil	s e ɡ u ɾ i d a dʒ i
seguridade	portugal	s ɨ ɣ u ɾ i ð a ð ɨ
seguro	brazil	s e ɡ u ɾ u
seguro	brazil	s i ɡ u ɾ u
seguro	portugal	s ɨ ɣ u ɾ u
seguros	brazil	s e ɡ u ɾ u s
seguros	portugal	s ɨ ɣ u ɾ u ʃ
segurou	portugal	s ɨ ɣ u ɾ o w
segurá	brazil	s e ɡ u ɾ a
segurá	portugal	s ɨ ɣ u ɾ a
seguíamos	portugal	s ɨ ɣ u i ɐ m u ʃ
segway	brazil	s e ɡ w e j
segway	portugal	s e ɡ w ɐ i
segóvia	portugal	s ɨ ɣ ɔ v i ɐ
sei	brazil+portugal	s e j
sei	portugal	s ɐ j
seia	portugal	s ɐ j ɐ
seiam	portugal	s ɐ j ɐ̃ w̃
seide	portugal	s e j ð ɨ
seiko	brazil	s e j k u
seiko	portugal	s ɐ j k u
seio	portugal	s ɐ j u
seios	brazil	s e j u s
seios	portugal	s ɐ j u ʃ
seiozinho	portugal	s ɐ j u z i ɲ u
seira	brazil	s e j ɾ a
seira	brazil	s e j ɾ ɐ
seira	portugal	s ɐ j ɾ ɐ
seis	brazil	s e j s
seis	portugal	s e j ʃ
seis	portugal	s ɐ j ʃ
seiscentas	portugal	s ɐ j ʃ s ẽ t ɐ ʃ
seiscentista	portugal	s ɐ j ʃ s ẽ t i ʃ t ɐ
seiscentos	brazil	s e j s ẽ t u s
seiscentos	portugal	s ɐ j ʃ s ẽ t u ʃ
seita	brazil	s e j t a
seita	brazil	s e j t ɐ
seita	portugal	s ɐ j t ɐ
seitas	portugal	s ɐ j t ɐ ʃ
seiva	brazil	s e i v ɐ
seiva	portugal	s ɐ j v ɐ
seivageto	portugal	s ɐ j v ɐ ʒ e t u
seivas	portugal	s ɐ j v ɐ ʃ
seixal	portugal	s ɐ j ʃ a l
seixas	brazil	s e j ʃ ɐ s
seixas	portugal	s ɐ j ʃ ɐ ʃ
seixo	brazil+portugal	s e j ʃ u
seixo	portugal	s ɐ j ʃ u
seixos	portugal	s e j ʃ u ʃ
seixozinho	portugal	s ɐ j ʃ u z i ɲ u
seiç	portugal	s ɐ j s
seja	portugal	s e ʒ ɐ
sejam	portugal	s e ʒ ɐ̃ w̃
sejamos	portugal	s e ʒ a m u ʃ
sejas	portugal	s e ʒ ɐ ʃ
sel	portugal	s ɛ l
sela	brazil+portugal	s ɛ l ɐ
selada	portugal	s ɨ l a ð ɐ
seladas	portugal	s ɛ l ɐ ð ɐ ʃ
selado	brazil	s e l a d u
selado	portugal	s ɨ l a ð u
selados	portugal	s ɨ l a ð u ʃ
selando	portugal	s ɨ l ɐ̃ d u
selar	brazil	s e l a x
selar	portugal	s ɨ l a ɾ
selas	brazil	s ɛ l ɐ s
selas	portugal	s ɛ l ɐ ʃ
selbach	brazil	s ɛ w b ɐ ʃ
selbach	portugal	s ɛ l β a ʃ
selecionada	brazil	s e l e s j o n a d ɐ
selecionada	portugal	s ɨ l ɛ s j u n a ð ɐ
selecionadas	brazil	s e l e s j o n a d ɐ s
selecionadas	portugal	s ɨ l ɛ s j u n a ð ɐ ʃ
selecionado	brazil	s e l e s j o n a d u
selecionado	portugal	s ɨ l ɛ s j u n a ð u
selecionados	brazil	s e l e s j o n a d u s
selecionados	portugal	s ɨ l ɛ s j u n a ð u ʃ
selecionam	brazil	s e l e s j o n ɐ̃
selecionam	portugal	s ɨ l ɛ s j u n ɐ̃
selecionamos	portugal	s ɨ l ɛ s j u n ɐ m u ʃ
selecionando	brazil	s e l e s j o n ɐ̃ d u
selecionando	portugal	s ɨ l ɛ s j u n ɐ̃ d u
selecionar	brazil	s e l e s j o n a x
selecionar	portugal	s ɨ l ɛ s j u n a ɾ
selecionará	brazil	s e l e s j o n a ɾ a
selecionará	portugal	s ɨ l ɛ s j u n ɐ ɾ a
selecione	brazil	s e l e s j o ɲ i
selecione	portugal	s ɨ l ɛ s j u n ɨ
selecionei	brazil	s e l e s j o n e j
selecionei	portugal	s ɨ l ɛ s j u n e j
selecionou	portugal	s ɨ l ɛ s j u n o w
selecta	portugal	s ɨ l ɛ k t ɐ
selecção	portugal	s ɨ l ɛ k s ɐ̃ w̃
selena	brazil	s e l e n ɐ
selena	portugal	s ɨ l e n ɐ
selene	brazil	s e l e ɲ i
selenita	brazil	s e l e ɲ i t ɐ
selenita	portugal	s ɨ l ɨ n i t ɐ
selenologia	brazil	s e l e n o l o ʒ i ɐ
seletas	portugal	s ɨ l ɛ t ɐ ʃ
seletiva	portugal	s ɨ l ɛ t i v ɐ
seletividade	portugal	s ɨ l ɛ t i v i ð a ð ɨ
seletivo	portugal	s ɨ l ɛ t i v u
seletivos	brazil	s e l e tʃ i v u s
seletivos	portugal	s ɨ l ɛ t i v u ʃ
seleto	brazil	s e l e t u
seleto	portugal	s ɨ l ɛ t u
seletos	portugal	s ɨ l ɛ t u ʃ
seleção	brazil	s e l e s ɐ̃ w̃
seleção	portugal	s ɨ l ɛ s ɐ̃ w̃
seleções	brazil	s e l e s õ j̃ s
seleções	portugal	s ɨ l ɛ s õ j̃ ʃ
self	portugal	s ɛ l f
selfie	brazil	s e l f i
selfie	brazil	s ɛ w f i
selfie	portugal	s ɛ l f i
selfies	portugal	s ɛ l f i ʃ
selha	portugal	s ɐ j ʎ ɐ
selhe	portugal	s ɨ ʎ ɨ
selhes	portugal	s ɨ ʎ ɨ ʃ
selhorst	brazil	s e ʎ ɔ x s tʃ
selhorst	portugal	s ɨ ʎ ɔ ɾ s t
selic	brazil	s e ʎ i k
selic	portugal	s ɨ l i c i
selig	brazil	s e ʎ i ɡ
selim	portugal	s ɨ l ĩ
sella	portugal	s ɨ l ɐ
sellada	portugal	s ɨ l a ð ɐ
sellado	portugal	s ɨ l a ð u
sellar	portugal	s ɨ l a ɾ
sellei	portugal	s ɨ l e j
seller	portugal	s ɨ l e ɾ
sellos	portugal	s ɨ l u ʃ
selma	brazil	s ɛ w m ɐ
selma	portugal	s ɛ l m ɐ
selo	brazil+portugal	s e l u
selo	brazil+portugal	s ɛ l u
selos	brazil	s e l u s
selos	portugal	s ɛ l u ʃ
selou	portugal	s ɨ l o w
seltz	portugal	s ɛ l t ʃ
selva	brazil	s ɛ w v a
selva	brazil	s ɛ w v ɐ
selva	portugal	s ɛ l v ɐ
selvagem	brazil	s e w v a ʒ ẽ j̃
selvagem	portugal	s ɛ l v a ʒ ɐ̃ j̃
selvagens	brazil	s e w v a ʒ ẽ ʃ
selvagens	portugal	s ɛ l v a ʒ ɐ̃ j̃ ʃ
selvageria	brazil	s e w v a ʒ e ɾ i ɐ
selvageria	portugal	s ɛ l v ɐ ʒ ɨ ɾ i ɐ
selvas	portugal	s ɛ l v ɐ ʃ
selvaticas	portugal	s ɛ l v ɐ t i k ɐ ʃ
selvatiquezas	portugal	s ɛ l v ɐ t i c e z ɐ ʃ
selvática	portugal	s ɛ l v a t i k ɐ
selymbria	portugal	s ɛ l a j m β ɾ i ɐ
selá	portugal	s ɛ l a
sem	brazil+portugal	s ẽ j̃
sem	portugal	s ɐ̃ j̃
semana	brazil	s e m ɐ n ɐ
semana	portugal	s ɨ m ɐ n ɐ
semanais	portugal	s ɨ m ɐ n a j ʃ
semanal	brazil	s e m a n a w
semanal	brazil	s e m ɐ n a w
semanal	portugal	s ɨ m ɐ n a l
semanalmente	portugal	s ɨ m ɐ n a l m ẽ t ɨ
semanas	brazil	s e m ɐ n ɐ s
semanas	portugal	s ɨ m ɐ n ɐ ʃ
semanários	portugal	s ɨ m ɐ n a ɾ j u ʃ
sembala	portugal	s ẽ b a l ɐ
semblante	portugal	s ẽ b l ɐ̃ t ɨ
semblantes	portugal	s ẽ b l ɐ̃ t ɨ ʃ
sembriagavam	portugal	s ẽ b ɾ j ɐ ɣ a v ɐ̃ w̃
sembuçar	portugal	s ẽ b u s a ɾ
seme	portugal	s ɨ m ɨ
semeada	portugal	s ɨ m j ɐ ð ɐ
semeadas	portugal	s ɨ m j ɐ ð ɐ ʃ
semeado	brazil	s e m e a d u
semeado	portugal	s ɨ m j ɐ ð u
semeador	brazil	s e m e a d o x
semeador	portugal	s ɨ m j ɐ ð o ɾ
semeadora	portugal	s ɨ m j ɐ ð o ɾ ɐ
semeadura	brazil	s e m i a d u ɾ ɐ
semeadura	portugal	s ɨ m j ɐ ð u ɾ ɐ
semeaduras	portugal	s ɨ m j ɐ ð u ɾ ɐ ʃ
semeais	portugal	s ɨ m j a j ʃ
semeando	brazil	s e m e ɐ̃ d u
semeando	portugal	s ɨ m j ɐ̃ d u
semear	brazil	s e m e a x
semear	portugal	s ɨ m j a ɾ
semeará	brazil	s e m e a ɾ a
semeará	portugal	s ɨ m j ɐ ɾ a
semeava	portugal	s ɨ m j a v ɐ
semeavãoos	portugal	s ɨ m j a v ɐ̃ w̃ u ʃ
semeeis	portugal	s ɨ m j ɐ j ʃ
semehante	portugal	s ɨ m j ɐ̃ t ɨ
semeia	brazil	s e m ɛ j ɐ
semeia	portugal	s ɨ m ɐ j ɐ
semeie	brazil+portugal	s e m e i
semeiem	portugal	s ɨ m ɐ j ɐ̃ j̃
semeio	portugal	s e m e i u
semelha	portugal	s ɨ m ɨ ʎ ɐ
semelham	portugal	s ɨ m ɨ ʎ ɐ̃ w̃
semelhan	portugal	s ɨ m ɨ ʎ ɐ̃
semelhando	portugal	s ɨ m ɨ ʎ ɐ̃ d u
semelhante	brazil	s e m e ʎ ɐ̃ tʃ i
semelhante	portugal	s ɨ m ɨ ʎ ɐ̃ t ɨ
semelhantes	brazil	s e m e ʎ ɐ̃ tʃ i s
semelhantes	portugal	s ɨ m ɨ ʎ ɐ̃ t ɨ ʃ
semelhança	brazil	s e m e ʎ ɐ̃ s a
semelhança	brazil	s e m e ʎ ɐ̃ s ɐ
semelhança	portugal	s ɨ m ɨ ʎ ɐ̃ s ɐ
semelhanças	brazil	s e m e ʎ ɐ̃ s ɐ s
semelhanças	portugal	s ɨ m ɨ ʎ ɐ̃ s ɐ ʃ
semelhar	portugal	s ɨ m ɨ ʎ a ɾ
semelhava	portugal	s ɨ m ɨ ʎ a v ɐ
semelhavam	portugal	s ɨ m ɨ ʎ a v ɐ̃ w̃
semeliiante	portugal	s ɨ m ɨ ʎ ẽ j̃ j ɐ̃ t ɨ
semene	portugal	s ɨ m ɛ n ɨ
semente	brazil	s e m ẽ tʃ i
semente	portugal	s ɨ m ẽ t ɨ
sementeira	brazil	s e m ẽ t e j x a
sementeira	portugal	s ɨ m ẽ t ɐ j ɾ ɐ
sementeiras	portugal	s ɨ m ẽ t ɐ j ɾ ɐ ʃ
sementes	brazil	s e m ẽ tʃ i s
sementes	portugal	s ɨ m ẽ t ɨ ʃ
sementinha	portugal	s ɨ m ẽ t i ɲ ɐ
sementre	brazil	s e m ẽ t ɾ i
semeou	brazil	s e m i ɐ̃ w̃
semeou	portugal	s ɨ m j o w
semestrais	portugal	s ɨ m ɛ ʃ t ɾ a i ʃ
semestral	portugal	s ɨ m ɨ ʃ t ɾ a l
semestralmente	portugal	s ɨ m ɛ ʃ t ɾ a l m ẽ t ɨ
semestre	brazil	s e m ɛ s t ɾ i
semestre	brazil	s e m ɛ ʃ t ɾ i
semestre	portugal	s ɨ m ɛ ʃ t ɾ ɨ
semestres	portugal	s ɨ m ɛ ʃ t ɾ ɨ ʃ
semfronio	portugal	s ɨ m f ɾ u n i u
semi	brazil	s e m i
semi	portugal	s ɨ m i
semiaberto	portugal	s e m j ɐ β ɛ ɾ t u
semiacrobática	portugal	s e m j a k ɾ o b a t i k ɐ
semianalfabeta	portugal	s ɨ m i a n a l f ɐ β ɛ t ɐ
semianalfabetos	portugal	s ɨ m i a n a l f ɐ β ɛ t u ʃ
semibárbaro	portugal	s ɨ m i b a ɾ β a ɾ u
semicerrada	portugal	s ɨ m i s ɨ ʁ a ð ɐ
semicerrados	portugal	s ɨ m i s ɨ ʁ a ð u ʃ
semicolcheia	portugal	s ɨ m i k o l ʃ ɐ j ɐ
semiconductors	portugal	s ɨ m i k õ d u k t u ɾ s
semicondutores	portugal	s ɨ m i k õ d u t o ɾ ɨ ʃ
semicírculo	portugal	s ɨ m i s i ɾ k u l u
semicírculos	portugal	s ɨ m i s i ɾ k u l u ʃ
semideia	portugal	s ɨ m i ð ɐ j ɐ
semidesnatado	brazil	s e m i d e j z n a t a d u
semidesnatado	portugal	s ɨ m i ð e w ʒ n ɐ t a ð u
semideus	portugal	s ɨ m i ð e w ʃ
semideusa	portugal	s ɨ m i ð e w z ɐ
semideuses	portugal	s ɨ m i ð e w z ɨ ʃ
semidivino	portugal	s ɨ m i ð i v i n u
semienterramento	portugal	s e m j ẽ t ɨ ʁ ɐ m ẽ t u
semifinais	brazil	s e m i f ĩ n a j s
semifinais	portugal	s ɨ m i f i n a j ʃ
semifinal	portugal	s ɨ m i f i n a l
semiformado	portugal	s ɨ m i f u ɾ m a ð u
semimanufaturados	brazil	s e m i m ɐ n u f a t u ɾ a d u s
semimanufaturados	portugal	s ɨ m i m ɐ n u f ɐ t u ɾ a ð u ʃ
seminarista	brazil	s e m i n a ɾ i s t ɐ
seminarista	portugal	s ɨ m i n a ɾ i ʃ t ɐ
seminaristas	portugal	s ɨ m i n a ɾ i ʃ t ɐ ʃ
seminu	portugal	s ɨ m i n u
seminua	brazil	s e m i n u ɐ
seminua	portugal	s ɨ m i n u ɐ
seminuas	brazil	s e m i n u ɐ s
seminuas	portugal	s ɨ m i n u ɐ ʃ
seminus	portugal	s ɨ m i n u ʃ
seminário	brazil	s e m i n a ɾ j u
seminário	portugal	s ɨ m i n a ɾ j u
seminários	portugal	s ɨ m i n a ɾ j u ʃ
semipre	portugal	s ɨ m i p ɾ ɨ
semirreta	brazil	s e m i x ɛ t ɐ
semirreta	portugal	s ɨ m i ʁ ɛ t ɐ
semisepultura	portugal	s ɨ m i z ɨ p u l t u ɾ ɐ
semitismo	portugal	s ɨ m i t i ʒ m u
semivida	portugal	s ɨ m ɨ v i d ɐ
semiárido	portugal	s e m j a ɾ i ð u
semiólogo	brazil+portugal	s e m j ɔ l o ɡ u
semos	portugal	s e m u ʃ
semper	portugal	s ẽ p e ɾ
sempie	portugal	s ẽ p j ɨ
sempiterna	portugal	s ẽ p i t ɛ ɾ n ɐ
sempiterno	portugal	s ẽ p i t ɛ ɾ n u
sempre	brazil	s ẽ p ɾ e
sempre	brazil	s ẽ p ɾ i
sempre	portugal	s ẽ p ɾ ɨ
semáforo	brazil	s e m a f o ɾ u
semáforo	portugal	s ɨ m a f u ɾ u
semáforos	brazil+portugal	s e m a f o ɾ u s
semântica	portugal	s ɨ m ɐ̃ t i k ɐ
semântico	portugal	s ɨ m ɐ̃ t i k u
semíticas	portugal	s ɨ m i t i k ɐ ʃ
sen	brazil	s ẽ j̃
sen	portugal	s ɛ n
sena	brazil+portugal	s e n ɐ
senac	portugal	s ɨ n ɐ c i
senado	brazil	s e n a d u
senado	portugal	s ɨ n a ð u
senador	brazil	s e n a d o x
senador	portugal	s e n a d o ʁ
senador	portugal	s ɨ n a ð o ɾ
senadora	brazil	s e n a d o ɾ ɐ
senadora	portugal	s ɨ n a ð o ɾ ɐ
senadores	brazil	s e n a d o ɾ i s
senadores	portugal	s ɨ n a ð o ɾ ɨ ʃ
senadô	portugal	s e n a d o
senai	brazil	s e n a j
senaqueribe	portugal	s ɨ n a k ɨ ɾ i b i
senaó	portugal	s ɨ n ɐ ɔ
senaõ	portugal	s ɨ n a õ
sencanta	portugal	s ẽ k ɐ̃ t ɐ
