# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Portuguese dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/portuguese/brazil_mfa/portuguese_brazil_mfa.dict, dictionary/portuguese/portugal_mfa/portuguese_portugal_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
abbadessas	portugal	ɐ b a b ɐ d e s ɐ ʃ
abbott	portugal	ɐ b a b u t
abc	brazil	a b e s e
abc	portugal	ɐ b c i
abcd	brazil	a b s e d e
abdias	brazil	a b i d i ɐ s
abdias	portugal	ɐ b d i ɐ ʃ
abdica	portugal	ɐ b d i k ɐ
abdicado	portugal	ɐ b d i k a ð u
abdicando	portugal	ɐ β ð i k ɐ̃ d u
abdicar	portugal	ɐ b d i k a ɾ
abdicar	portugal	ɐ β ð i k a ɾ
abdicassem	portugal	ɐ b d i k a s ɐ̃ j̃
abdicava	portugal	ɐ b d i k a v ɐ
abdicação	portugal	ɐ b d i k ɐ s ɐ̃ w̃
abdiquemos	portugal	ɐ b d i c e m u ʃ
abdome	portugal	ɐ b d ɔ m ɨ
abdominal	brazil	a b i d o m i n a w
abdominal	portugal	ɐ b d ɔ m i n a l
abdominoplastia	portugal	ɐ b d ɔ m i n ɔ p l ɐ ʃ t i ɐ
abdon	brazil	a b i d õ
abdon	portugal	ɐ b d õ
abduzir	portugal	a β ð u z i ɾ
abdómen	portugal	ɐ b d ɔ m ɛ n
abdômen	brazil	a b i d o m ẽ j̃
abdômen	portugal	ɐ b d o m ɛ n
abdômens	portugal	ɐ b d o m ɐ̃ j̃ ʃ
abe	brazil	a b i
abe	portugal	ɐ b ɨ
abeba	portugal	ɐ b ɨ β ɐ
abeberar	brazil	a b e b e ɾ a ɾ
abeberar	portugal	ɐ b ɨ β e ɾ a ɾ
abecedário	portugal	ɐ b ɨ s ɛ ð a ɾ j u
abegoaria	portugal	ɐ b i ɣ w ɐ ɾ i ɐ
abeillard	portugal	ɐ β e i l a ɾ ð
abeira	portugal	ɐ β ɐ j ɾ ɐ
abeiradas	portugal	ɐ β ɐ j ɾ a d ɐ ʃ
abeiram	portugal	ɐ β ɐ j ɾ ɐ̃ w̃
abeirando	portugal	ɐ β ɐ j ɾ ɐ̃ d u
abeirar	portugal	ɐ b e j ɾ a ɾ
abeirara	portugal	ɐ β ɐ j ɾ a ɾ ɐ
abeiraram	portugal	ɐ β ɐ j ɾ a ɾ ɐ̃ w̃
abeirasse	portugal	ɐ β ɐ j ɾ ɐ s ɨ
abeirava	portugal	ɐ β ɐ j ɾ a v ɐ
abeiravam	portugal	ɐ β ɐ j ɾ a v ɐ̃ w̃
abeiro	portugal	ɐ β ɐ j ɾ u
abel	brazil	a b ɛ w
abel	portugal	a b ɛ l
abelar	brazil	a b e l a x
abelar	portugal	ɐ β ɨ l a ɾ
abelardo	brazil	a b e l a x d u
abelardo	portugal	ɐ β ɨ l a ɾ ð u
abelha	portugal	ɐ β e ʎ ɐ
abelha	portugal	ɐ β ɐ j ʎ ɐ
abelha	portugal	ɐ β ɐ ʎ ɐ
abelharuco	brazil	a b e ʎ a ɾ u k u
abelhas	brazil	a b e ʎ ɐ s
abelhas	portugal	ɐ β ɐ j ʎ ɐ ʃ
abelheiro	brazil	a b e ʎ e j ɾ u
abelhudo	portugal	ɐ β ɐ ʎ u d u
abençoa	portugal	ɐ β ẽ s w ɐ
abençoada	brazil	a b ẽ s o a d ɐ
abençoada	portugal	ɐ β ẽ s w a ð ɐ
abençoadas	portugal	ɐ β ẽ s w a ð ɐ ʃ
abençoado	portugal	ɐ β ẽ s w a ð u
abençoados	portugal	ɐ β ẽ s w a ð u ʃ
abençoai	portugal	ɐ β ẽ s w a j
abençoando	portugal	ɐ β ẽ s w ɐ̃ d u
abençoar	portugal	ɐ β ẽ s w a ɾ
